CLOSED
Version	0.4
Run	717
Instrument	2950 TGA       V5.4A
Module	TGA 1000 øC
Sample	CuSO4*5H2O standard slow
Size	8.07900	mg
Method	
Operator	AE
Comment	CuSO4*5H2O standard at 1C/min for calibration
Xcomment	Pan: Platinum           Gas1: Nitrogen  20          Gas2: Nitrogen  30
Text
Kcell	1.00000
TempCal	2	pts	24.15	22.00,	374.82	354.00
Thresholds	0.050	0.0000
Controls	Gas 1  Event Off  Sampling 2.0 sec/pt
Nsig	3
Sig1	Time (min)
Sig2	Temperature (øC)
Sig3	Weight (mg)
Date	21-May-19
Time	17:52
File	C:\TA\Data\TGA\Angela\Cannabinoids\CuSO4_5H2O_Ref_1C_min_052119.001
OrgFile	C:\TA\Data\TGA\Angela\Cannabinoids\CuSO4_5H2O_Ref_1C_min_052119.001
18.70434 45.20252 7.772006
18.73783 45.23611 7.769980
18.77116 45.26956 7.768120
18.80450 45.30449 7.766179
18.83750 45.33670 7.764304
18.87100 45.36854 7.762403
18.90434 45.40303 7.760261
18.93766 45.43821 7.758025
18.97100 45.47056 7.755811
19.00450 45.50131 7.753608
19.03784 45.53444 7.751596
19.07117 45.56969 7.749625
19.10416 45.60215 7.747710
19.13766 45.63449 7.745734
19.17100 45.66742 7.743580
19.20434 45.70368 7.741216
19.23767 45.73650 7.738862
19.27100 45.76914 7.736614
19.30450 45.80220 7.734582
19.33783 45.83731 7.732470
19.37117 45.87176 7.730460
19.40434 45.90210 7.728370
19.43766 45.93463 7.726208
19.47100 45.96950 7.724006
19.50434 46.00393 7.721756
19.53850 46.03940 7.719184
19.57284 46.07290 7.716499
19.60617 46.10672 7.714272
19.63950 46.14196 7.712218
19.67250 46.17464 7.710256
19.70684 46.20752 7.708218
19.74100 46.24252 7.705834
19.77434 46.27696 7.703568
19.80766 46.31071 7.701282
19.84117 46.34262 7.698976
19.87450 46.37640 7.696664
19.90750 46.41133 7.694642
19.94100 46.44212 7.692494
19.97434 46.47425 7.690340
20.00767 46.50795 7.688082
20.04184 46.54337 7.685676
20.07616 46.57799 7.683199
20.10950 46.61016 7.680734
20.14250 46.64312 7.678405
20.17600 46.67741 7.676260
20.21017 46.71178 7.674150
20.24434 46.74480 7.671966
20.27766 46.77753 7.669820
20.31117 46.81004 7.667507
20.34416 46.84351 7.664949
20.37850 46.87833 7.662250
20.41266 46.91282 7.659619
20.44600 46.94671 7.657358
20.47934 46.98031 7.655184
20.51283 47.01433 7.653046
20.54700 47.04806 7.650595
20.58100 47.08066 7.648034
20.61434 47.11387 7.645514
20.64766 47.14861 7.642956
20.68100 47.18389 7.640474
20.71516 47.21497 7.638040
20.74950 47.24763 7.635606
20.78284 47.28201 7.633318
20.81584 47.31728 7.631124
20.84934 47.34993 7.628910
20.88350 47.38304 7.626441
20.91766 47.41611 7.623746
20.95100 47.45109 7.621184
20.98450 47.48539 7.618740
21.01784 47.51666 7.616370
21.05166 47.54963 7.614160
21.08600 47.58410 7.611952
21.11934 47.61873 7.609600
21.15266 47.65440 7.607179
21.18600 47.68443 7.604712
21.22017 47.71572 7.601882
21.25450 47.74898 7.599146
21.28784 47.78524 7.596754
21.32117 47.81828 7.594390
21.35416 47.85000 7.591905
21.38766 47.88299 7.589541
21.42100 47.91614 7.587306
21.45434 47.95042 7.584961
21.48767 47.98523 7.582520
21.52100 48.01722 7.579929
21.55450 48.05028 7.577364
21.58783 48.08572 7.574747
21.62083 48.11894 7.572303
21.65434 48.14984 7.569646
21.68766 48.18176 7.566975
21.72100 48.21522 7.564524
21.75434 48.25041 7.562143
21.78766 48.28502 7.559824
21.82100 48.31726 7.557288
21.85450 48.35300 7.554655
21.88783 48.38637 7.551978
21.92117 48.42066 7.549188
21.95416 48.45426 7.546524
21.98750 48.48686 7.543951
22.02100 48.51918 7.541444
22.05434 48.55134 7.538956
22.08767 48.58691 7.536431
22.12100 48.61853 7.533989
22.15434 48.65110 7.531456
22.18766 48.68172 7.528738
22.22100 48.71412 7.525905
22.25450 48.74790 7.523208
22.28784 48.78291 7.520670
22.32117 48.81629 7.518238
22.35450 48.84794 7.515790
22.38750 48.88031 7.513357
22.42100 48.91338 7.510829
22.45434 48.94740 7.508214
22.48767 48.98329 7.505492
22.52100 49.01762 7.502649
22.55434 49.05106 7.499834
22.58767 49.08532 7.497134
22.62100 49.12078 7.494538
22.65434 49.15496 7.491946
22.68766 49.18797 7.489366
22.72100 49.21972 7.486807
22.75434 49.25294 7.484213
22.78766 49.28549 7.481609
22.82117 49.32033 7.478818
22.85450 49.35492 7.475976
22.88783 49.38916 7.473199
22.92117 49.42480 7.470574
22.95450 49.45765 7.467960
22.98783 49.49199 7.465384
23.02116 49.52646 7.462844
23.05450 49.56133 7.460198
23.08783 49.59196 7.457495
23.12117 49.62296 7.454837
23.15450 49.65704 7.452055
23.18784 49.69016 7.449244
23.22117 49.72600 7.446545
23.25450 49.76031 7.443891
23.28784 49.79150 7.441236
23.32117 49.82326 7.438655
23.35450 49.85724 7.436006
23.38783 49.89234 7.433399
23.42117 49.92738 7.430681
23.45450 49.96070 7.427834
23.48783 49.99475 7.425000
23.52116 50.02689 7.422336
23.55450 50.06184 7.419790
23.58783 50.09382 7.417270
23.62117 50.12703 7.414532
23.65450 50.15758 7.411784
23.68784 50.18790 7.409069
23.72117 50.22040 7.406408
23.75417 50.25452 7.403650
23.78750 50.28428 7.400754
23.82083 50.31296 7.397911
23.85416 50.34456 7.395154
23.88750 50.37859 7.392524
23.92084 50.41560 7.389957
23.95416 50.44838 7.387412
23.98750 50.48314 7.384741
24.02084 50.51741 7.381988
24.05417 50.55304 7.379145
24.08750 50.58588 7.376370
24.12083 50.62040 7.373620
24.15417 50.65426 7.370900
24.18784 50.68493 7.368299
24.22117 50.71504 7.365680
24.25450 50.74683 7.363040
24.28784 50.78130 7.360328
24.32117 50.81739 7.357595
24.35450 50.85252 7.354797
24.38783 50.88621 7.352063
24.42117 50.92054 7.349056
24.45450 50.95034 7.346331
24.48783 50.98210 7.344081
24.52116 51.01504 7.341519
24.55450 51.04606 7.338888
24.58867 51.07944 7.335749
24.62250 51.11478 7.332654
24.65584 51.14590 7.329900
24.68916 51.17904 7.327220
24.72250 51.21386 7.324595
24.75684 51.24950 7.322074
24.79100 51.28350 7.319534
24.82434 51.31723 7.316950
24.85766 51.35196 7.314245
24.89100 51.38722 7.311624
24.92517 51.42128 7.308915
24.95934 51.45564 7.306147
24.99266 51.49031 7.303392
25.02600 51.52466 7.300749
25.05934 51.56071 7.298165
25.09266 51.59411 7.295678
25.12600 51.62574 7.293220
25.15934 51.65776 7.290572
25.19266 51.69272 7.287792
25.22600 51.72741 7.284956
25.25933 51.76267 7.282221
25.29266 51.79780 7.279688
25.32600 51.83117 7.277210
25.35933 51.86334 7.274696
25.39266 51.89262 7.272153
25.42600 51.92492 7.269488
25.45934 51.95850 7.266806
25.49266 51.99188 7.264280
25.52600 52.02690 7.261768
